iter	Logloss	Accuracy
797	0.3860471247	0.8318955434
798	0.3860379741	0.8318911504
799	0.3860258892	0.8319164101
800	0.3859693782	0.8319888945
801	0.385959924	0.8320053682
802	0.3859444094	0.8319943858
803	0.3859224302	0.8319658313
804	0.3859070341	0.8319658313
805	0.3858970343	0.8319625366
806	0.3858814849	0.8320064665
807	0.3858720243	0.8320108595
808	0.3858607601	0.8320152525
809	0.3858519805	0.8320031717
810	0.3858384392	0.832008663
811	0.3858247014	0.8320350209
812	0.3858131515	0.8320449052
813	0.3857837979	0.8320734596
814	0.3857758909	0.8320844421
815	0.3857598624	0.8320756561
816	0.3857460688	0.8320734596
817	0.3857292718	0.8320822456
818	0.3857172381	0.8320976211
819	0.3857042262	0.832119586
820	0.385694021	0.8321250773
821	0.3856757975	0.8321393545
822	0.3856631324	0.832128372
823	0.3856463561	0.8321206843
824	0.3856239341	0.8321360598
825	0.3856118221	0.832132765
826	0.3855983665	0.8321734002
827	0.385583378	0.8321832844
828	0.3855684969	0.8321898739
829	0.3855532874	0.8322173301
830	0.3855391087	0.8322074459
831	0.3855248301	0.8322360004
832	0.3855160083	0.8322118389
833	0.3855035985	0.8321953652
834	0.3854932386	0.8322283126
835	0.3854821754	0.8322184284
836	0.3854579578	0.8322491793
837	0.385442077	0.8322469828
838	0.3854080133	0.8322766355
839	0.3853945341	0.8323029935
840	0.3853798151	0.8323260567
841	0.3853730037	0.832322762
842	0.385354647	0.8323326462
843	0.3853418936	0.8323392357
844	0.3853279872	0.8323491199
845	0.3853158057	0.8323579059
846	0.3853061365	0.8323644954
847	0.3852964365	0.8323655936
848	0.3852833633	0.8323590042
849	0.3852723001	0.8323568077
850	0.3852600779	0.8323732814
851	0.3852496117	0.8323688884
852	0.3852401701	0.8323831656
853	0.3852293954	0.8323919516
854	0.3852207706	0.8324161131
855	0.3852098821	0.8324084253
856	0.385194052	0.8324150148
857	0.3851829012	0.832433685
858	0.3851717745	0.8324238008
859	0.38515671	0.8324413728
860	0.3851411037	0.8324303903
861	0.3851214356	0.8324259973
862	0.3851097145	0.8324183096
863	0.3850828355	0.8324073271
864	0.3850726614	0.8324150148
865	0.3850633479	0.8324303903
866	0.3850437838	0.8324721237
867	0.3850277716	0.8324765167
868	0.3850083112	0.8324589447
869	0.3849772703	0.8324798115
870	0.3849634858	0.8324973834
871	0.3849400524	0.8324918922
872	0.3849286238	0.8324874992
873	0.3849115266	0.8324820079
874	0.3848937913	0.8325215449
875	0.3848568113	0.8325468046
876	0.384841098	0.8325566888
877	0.3848221217	0.8325336256
878	0.3848071818	0.8325676713
879	0.3847955788	0.8325577871
880	0.3847840829	0.8325566888
